drone_id,missile_id,generation,proximity_best,duration_best_s,final_coarse_full_s
FY1,M1,0,-0.09030340118004097,4.77747866597681,
FY1,M1,1,-0.09030340118004097,4.77747866597681,
FY1,M1,2,-0.09030340118004097,4.77747866597681,
FY1,M1,3,-0.09030340118004097,4.77747866597681,
FY1,M1,4,-0.09030340118004097,4.77747866597681,
FY1,M1,5,-0.09030340118004097,4.77747866597681,
FY1,M1,6,-0.09030340118004097,4.77747866597681,
FY1,M1,7,-0.09030340118004097,4.77747866597681,
FY1,M1,8,-0.09030340118004097,4.77747866597681,
FY1,M1,9,-0.09030340118004097,4.77747866597681,
FY1,M1,10,-0.09030340118004097,4.77747866597681,
FY1,M1,11,-0.09030340118004097,4.77747866597681,
FY1,M1,12,-0.09030340118004097,4.792819949353344,
FY1,M1,13,-0.09030340118004097,4.792819949353344,
FY1,M1,14,-0.09030340118004097,4.792819949353344,
FY1,M1,15,-0.09030340118004097,4.792819949353344,
FY1,M1,16,-0.09030340118004097,4.792819949353344,
FY1,M1,17,-0.09030340118004097,4.792819949353344,
FY1,M1,18,-0.09030340118004097,4.792819949353344,
FY1,M1,19,-0.09030340118004097,4.797125333794268,
FY1,M1,20,-0.09030340118004097,4.807128067390504,
FY1,M1,21,-0.09030340118004097,4.807128067390504,
FY1,M1,22,-0.09030340118004097,4.807128067390504,
FY1,M1,23,-0.09030340118004097,4.809675993915045,
FY1,M1,24,-0.09030340118004097,4.809675993915045,
FY1,M1,25,-0.09030340118004097,4.809675993915045,
FY1,M1,26,-0.09030340118004097,4.809675993915045,
FY1,M1,27,-0.09030340118004097,4.809675993915045,
FY1,M1,28,-0.09030340118004097,4.809675993915045,
FY1,M1,29,-0.09030340118004097,4.809675993915045,
FY1,M1,30,-0.09030340118004097,4.810895397265428,
FY1,M1,31,-0.09030340118004097,4.810895397265428,
FY1,M1,32,-0.09030340118004097,4.810895397265428,
FY1,M1,33,-0.09030340118004097,4.814843581374225,
FY1,M1,34,-0.09030340118004097,4.814843581374225,
FY1,M1,35,-0.09030340118004097,4.814843581374225,
FY1,M1,36,-0.09030340118004097,4.814843581374225,
FY1,M1,37,-0.09030340118004097,4.817378224302655,
FY1,M1,38,-0.09030340118004097,4.817378224302655,
FY1,M1,39,-0.09030340118004097,4.817378224302655,
FY1,M1,40,-0.09030340118004097,4.817639858042254,
FY1,M1,41,-0.09030340118004097,4.818162157499133,
FY1,M1,42,-0.09030340118004097,4.818162157499133,
FY1,M1,43,-0.09030340118004097,4.818162157499133,
FY1,M1,44,-0.09030340118004097,4.822087400627259,
FY1,M1,45,-0.08994470838535075,4.822087400627259,
FY1,M1,46,-0.07802660115392861,4.822087400627259,
FY1,M1,47,-0.07802660115392861,4.822087400627259,
FY1,M1,48,-0.07802660115392861,4.822382737546275,
FY1,M1,49,-0.07802660115392861,4.82757943746834,
FY1,M1,50,-0.07802660115392861,4.827956484460583,
FY1,M1,51,-0.07802660115392861,4.827956484460583,
FY1,M1,52,-0.07802660115392861,4.827956484460583,
FY1,M1,53,-0.07802660115392861,4.827956484460583,
FY1,M1,54,-0.07802660115392861,4.827956484460583,
FY1,M1,55,-0.07802660115392861,4.827956484460583,
FY1,M1,56,-0.07802660115392861,4.827956484460583,
FY1,M1,57,-0.07802660115392861,4.8304488416778835,
FY1,M1,58,-0.07802660115392861,4.8304488416778835,
FY1,M1,59,-0.07802660115392861,4.8304488416778835,
FY1,M1,60,-0.012669112387132597,4.8304488416778835,
FY1,M1,61,-0.012669112387132597,4.8304488416778835,
FY1,M1,62,-0.012669112387132597,4.8304488416778835,
FY1,M1,63,-0.012669112387132597,4.8304488416778835,
FY1,M1,64,-0.012669112387132597,4.8304488416778835,
FY1,M1,65,-0.012669112387132597,4.8315650821860485,
FY1,M1,66,,4.8315650821860485,
FY1,M1,67,,4.8315650821860485,
FY1,M1,68,,4.8315650821860485,
FY1,M1,69,,4.8315650821860485,
FY1,M1,70,,4.8315650821860485,
FY1,M1,71,,4.8315650821860485,
FY1,M1,72,,4.8315650821860485,
FY1,M1,73,,4.8315650821860485,
FY1,M1,74,,4.8315650821860485,
FY1,M1,75,,4.8315650821860485,
FY1,M1,76,,4.8315650821860485,
FY1,M1,77,,4.8315650821860485,
FY1,M1,78,,4.8315650821860485,
FY1,M1,79,,4.8315650821860485,
FY1,M1,80,,4.831702407167675,
FY1,M1,81,,4.831702407167675,
FY1,M1,82,,4.831702407167675,
FY1,M1,83,,4.831702407167675,
FY1,M1,84,,4.831787552319311,
FY1,M1,85,,4.831787552319311,
FY1,M1,86,,4.831787552319311,
FY1,M1,87,,4.831957810204944,
FY1,M1,88,,4.832218365633226,
FY1,M1,89,,4.832218365633226,
FY1,M1,90,,4.832218365633226,4.587998887538302
FY1,M2,0,-276.6409878589711,0.0,
FY1,M2,1,-194.13599676548205,0.0,
FY1,M2,2,-194.13599676548205,0.0,
