heading_error_deg,speed_error_mps,release_delay_s,fuse_error_s,effective_duration_s
0.06905353249054516,-1.1550715668262734,0.04273225438845116,-0.0027418671867259323,4.363736375826065
0.4265694374205358,0.2065929861245992,0.08673522462445597,0.04225109410308992,3.5922337839122176
-0.27400261546047333,2.7903209172410834,0.12389984530164999,0.03863624947413806,3.665220016039723
-0.5116513946565013,2.1226240618600216,0.03498906536517913,0.07795897603162924,3.987108039801287
-0.6220931420295027,-0.07773541141852387,0.05080059222756608,0.15339279505567655,3.3907836232013473
0.10964654187867076,3.044482342137724,0.02358327425557628,-0.0450762976943093,4.584255538704273
0.6282892358623239,0.3778547353202688,0.031710011284153,-0.017462754647392272,4.3160573779907345
0.48034288286113885,0.4449703671934782,0.018792898399380493,-0.011348275522388677,4.402315538739588
-0.6496990578848835,0.6770388241966712,0.05980395517403823,0.039706678580190835,4.163070116855187
0.043638220756458165,-2.165831414994669,0.10367497389966758,0.004268356642140425,3.9884468836048566
0.5623504074594569,-0.9712868273129016,0.0830062406474233,0.0405631062371663,3.6095582260929238
0.49558356737877585,-1.0051192406149112,0.009890241468292702,-0.04262411320325604,4.575483807052032
-0.5199756899986401,-0.8904478690829178,0.10406498221720707,-0.0023578230873345808,4.190068264415347
-0.9858204765164255,-0.9042416576081004,0.09792722702063333,-0.021506533654632363,4.507074015627552
0.3890173011810375,-0.5188127545814503,0.08018736212960491,-0.03390084731059609,4.230293266054853
0.14804919222451637,-0.5230752116322703,0.02751897510541163,0.10260384871457018,3.6356100078914815
0.37187008140030137,-1.820184258833868,0.13377886870411915,-0.01711658588275452,3.8221479972081696
0.10995031215204057,-0.2701824493762932,0.029966276849584386,0.09148671428264164,3.708879854469923
0.27316406627602846,2.183870066807356,0.0999688448105495,0.07227978069544724,3.345262280376375
0.15489106043898734,1.048582312032683,0.050803917512561754,0.009077537085776312,4.163807881663773
0.13361842107333194,-3.8898195264802053,0.06826509387575752,0.022102470420869023,4.098252099007454
-1.1585249323247584,-0.6791665824450563,0.042503503444279785,0.1216175992024387,3.8668426813834245
-0.3216729727778457,2.142803952763085,0.0937724630479392,0.06346399251808474,3.682335828528649
0.48970469875521233,0.6422523368796265,0.09545383940673569,-0.06188349788487146,4.286538077686617
0.2739351619823506,-0.946541515972138,0.008376868689587053,0.013009876806205013,4.384610585255691
-0.19063136834771402,1.1561011816333226,0.004974757652215121,-0.14490890828310685,4.575154201394019
-0.10250209472819156,1.3204057825183448,0.04881474034095725,0.03525168051917835,4.07470081891739
-0.4348114237277199,-0.06223833668568332,0.04244564631966391,-0.011905683368715503,4.558317936870106
-0.03948970238089763,2.3987465642415553,0.15133514380283017,-0.003892216552569001,3.715497330205587
0.7397824163154522,-0.48121064395311863,0.04958272246047676,-0.07057044105738046,4.553512928537358
0.25396408556381006,0.12489597762042659,0.014700268666159063,0.05683686015877918,3.999526812411093
-0.37270325742521304,1.4370691375522144,0.00675558872919295,-0.056893695516138855,4.579511158983556
0.469866977080157,-1.5191143017521025,0.04968995592167834,0.06449646459827933,3.696959357753182
0.7034500562525128,0.3319020623290071,0.1148258859140126,-0.024698770785803258,3.804170144458552
