run,seed,generation,best_proxy_duration_s,mean_proxy_duration_s
1,20250731,0,1.4325498575975786,0.014922394349974777
1,20250731,1,3.495687768623597,0.2987957997569804
1,20250731,2,3.495687768623597,0.986184664063952
1,20250731,3,3.495687768623597,1.6797613637029354
1,20250731,4,3.495687768623597,2.4674161003108437
1,20250731,5,3.495687768623597,2.6323894277445166
1,20250731,6,3.495687768623597,2.6477216918849926
1,20250731,7,4.044952630578967,2.796750832203561
1,20250731,8,4.044952630578967,2.846290207865916
1,20250731,9,4.089032639245661,2.990492206938967
1,20250731,10,4.106447404268755,3.0925909720198437
1,20250731,11,4.114809574313188,3.2759179325495253
1,20250731,12,4.114809574313188,3.3871698138047215
1,20250731,13,4.257222131620738,3.472993819863103
1,20250731,14,4.342199305427854,3.5781332769711347
1,20250731,15,4.342199305427854,3.667273364766815
1,20250731,16,4.342199305427854,3.745830234918735
1,20250731,17,4.342199305427854,3.80523688956658
1,20250731,18,4.342199305427854,3.8671620454313254
1,20250731,19,4.342199305427854,3.9184060981444446
1,20250731,20,4.342199305427854,3.959019604841935
1,20250731,21,4.342199305427854,3.9804100913996456
1,20250731,22,4.528610849020585,4.0047958846039675
1,20250731,23,4.528610849020585,4.057970040366302
1,20250731,24,4.637087250291552,4.10712090099948
1,20250731,25,4.696508789733642,4.1497901953717475
1,20250731,26,4.783850444459121,4.228331406744765
1,20250731,27,4.783850444459121,4.274272955197944
1,20250731,28,4.783850444459121,4.332061105496165
1,20250731,29,4.783850444459121,4.373117566941283
1,20250731,30,4.783850444459121,4.4387590137076005
1,20250731,31,4.783850444459121,4.508323104923808
1,20250731,32,4.783850444459121,4.55799792492454
1,20250731,33,4.783850444459121,4.60865669834498
1,20250731,34,4.808045644540293,4.644162593696559
1,20250731,35,4.808045644540293,4.662183312595174
1,20250731,36,4.808045644540293,4.697597084956101
1,20250731,37,4.808045644540293,4.714385771682346
1,20250731,38,4.808045644540293,4.728758968163317
1,20250731,39,4.808045644540293,4.739761859620311
1,20250731,40,4.819150912303405,4.748658943593007
1,20250731,41,4.819150912303405,4.756939360767542
1,20250731,42,4.819150912303405,4.765423226561883
1,20250731,43,4.819150912303405,4.772071346899442
1,20250731,44,4.821046567011001,4.7789322282440105
1,20250731,45,4.821046567011001,4.781146612563663
1,20250731,46,4.821046567011001,4.782863897200422
1,20250731,47,4.821046567011001,4.786297046435153
1,20250731,48,4.821046567011001,4.79090897815474
1,20250731,49,4.821046567011001,4.792621628963407
1,20250731,50,4.821046567011001,4.795793874833276
1,20250731,51,4.821046567011001,4.798238959700386
1,20250731,52,4.821046567011001,4.7991189533420515
1,20250731,53,4.825551701893684,4.801682733288984
1,20250731,54,4.825551701893684,4.803664628720713
1,20250731,55,4.825551701893684,4.805164630939745
1,20250731,56,4.825551701893684,4.8065946746499835
1,20250731,57,4.8258045188253895,4.808035367166128
1,20250731,58,4.8258045188253895,4.8090858086730925
1,20250731,59,4.8258045188253895,4.810687244738724
1,20250731,60,4.830362514246508,4.811847567264094
1,20250731,61,4.830362514246508,4.813062980169132
1,20250731,62,4.830362514246508,4.813829737213839
1,20250731,63,4.830362514246508,4.814018035672945
1,20250731,64,4.830362514246508,4.8149446263904645
1,20250731,65,4.830362514246508,4.8154606850548705
1,20250731,66,4.830362514246508,4.816216797287818
1,20250731,67,4.830362514246508,4.816587273974527
1,20250731,68,4.830362514246508,4.8170574058364695
1,20250731,69,4.830362514246508,4.817988737000313
1,20250731,70,4.830362514246508,4.818096739658664
1,20250731,71,4.830362514246508,4.818614604689711
1,20250731,72,4.830362514246508,4.819180772317847
1,20250731,73,4.830362514246508,4.819788571680291
1,20250731,74,4.830362514246508,4.820360547098709
1,20250731,75,4.830362514246508,4.820766403962925
1,20250731,76,4.830362514246508,4.82136882292077
1,20250731,77,4.830362514246508,4.82172971824929
1,20250731,78,4.830362514246508,4.82194979643056
1,20250731,79,4.830362514246508,4.82246822822044
1,20250731,80,4.830362514246508,4.822876954194402
1,20250731,81,4.830362514246508,4.8234631210205805
1,20250731,82,4.830971689960986,4.824109240659641
1,20250731,83,4.830971689960986,4.824637676050144
1,20250731,84,4.830971689960986,4.825058339736649
1,20250731,85,4.830971689960986,4.825696195788487
1,20250731,86,4.830971689960986,4.826132856793092
1,20250731,87,4.830971689960986,4.826421300508069
1,20250731,88,4.830971689960986,4.8266162395905425
1,20250731,89,4.830971689960986,4.826914816804394
1,20250731,90,4.83115137558492,4.82728223903085
1,20250731,91,4.831323076123856,4.827555010970638
1,20250731,92,4.831323076123856,4.827794162922548
1,20250731,93,4.8315833045795085,4.828290982647361
1,20250731,94,4.8315833045795085,4.828540724650851
1,20250731,95,4.8315833045795085,4.828918478752111
1,20250731,96,4.8315833045795085,4.82920994553677
1,20250731,97,4.8315833045795085,4.829457279017695
1,20250731,98,4.8317128133988305,4.829696770389909
1,20250731,99,4.8317128133988305,4.829862025245306
1,20250731,100,4.8317128133988305,4.83005663215405
1,20250731,101,4.8317128133988305,4.830187510268793
1,20250731,102,4.831861317485779,4.830377315388202
1,20250731,103,4.831861317485779,4.830516168704697
1,20250731,104,4.831861317485779,4.830661279709936
1,20250731,105,4.831861317485779,4.830809132024704
1,20250731,106,4.831861317485779,4.830868267052016
1,20250731,107,4.831861317485779,4.8309302744811715
1,20250731,108,4.831861317485779,4.831013051586631
1,20250731,109,4.832202265597187,4.831122326394703
1,20250731,110,4.832202265597187,4.831185589049222
1,20250731,111,4.832202265597187,4.831250996631671
1,20250731,112,4.832202265597187,4.831306919476978
1,20250731,113,4.832279736093398,4.831361640411833
1,20250731,114,4.832279736093398,4.831416908591556
1,20250731,115,4.832279736093398,4.8314751838348915
1,20250731,116,4.832279736093398,4.831506120567617
1,20250731,117,4.832279736093398,4.831538355555345
1,20250731,118,4.832279736093398,4.831595815614787
1,20250731,119,4.832279736093398,4.831665473914849
1,20250731,120,4.832290549468449,4.8317105008556736
1,20250731,121,4.832290549468449,4.831753297183535
1,20250731,122,4.832290549468449,4.831786490631565
1,20250731,123,4.832355723189525,4.831831697139307
1,20250731,124,4.832355723189525,4.8318595204862484
1,20250731,125,4.832355723189525,4.831902848678983
1,20250731,126,4.832355723189525,4.831936058631949
1,20250731,127,4.832355723189525,4.8319684110889165
1,20250731,128,4.832355723189525,4.831983664980168
1,20250731,129,4.832355723189525,4.831999914684914
1,20250731,130,4.832355723189525,4.832017568861898
1,20250731,131,4.832355723189525,4.832048877351757
1,20250731,132,4.832355723189525,4.832062087363453
1,20250731,133,4.832355723189525,4.832080278947092
1,20250731,134,4.832355723189525,4.832103171998736
1,20250731,135,4.832370060387912,4.83212291704373
1,20250731,136,4.832370060387912,4.832136957864666
1,20250731,137,4.832370060387912,4.832149393138266
1,20250731,138,4.832450310247779,4.83216089125868
1,20250731,139,4.832450310247779,4.832184700364416
1,20250731,140,4.832450310247779,4.832198727478736
1,20250731,141,4.832450310247779,4.832209976850129
1,20250731,142,4.832450310247779,4.832221954852813
1,20250731,143,4.832450310247779,4.8322328279189
1,20250731,144,4.832450310247779,4.832240370860715
1,20250731,145,4.832450310247779,4.832251313504621
1,20250731,146,4.832486615849859,4.832264562132977
1,20250731,147,4.832486615849859,4.832274344122403
1,20250731,148,4.832486615849859,4.832282430965048
1,20250731,149,4.832486615849859,4.832293915176465
1,20250731,150,4.832486615849859,4.832303240213085
1,20250731,151,4.832486615849859,4.832310941925109
1,20250731,152,4.832486615849859,4.832317755689615
1,20250731,153,4.832486615849859,4.832323027854264
1,20250731,154,4.832486615849859,4.832327296469849
1,20250731,155,4.832486615849859,4.832334391689648
1,20250731,156,4.832486615849859,4.832341595776847
1,20250731,157,4.832486615849859,4.832350236245312
1,20250731,158,4.832486615849859,4.8323590789343145
1,20250731,159,4.832486615849859,4.832367060665411
1,20250731,160,4.832486615849859,4.832375293276766
1,20250731,161,4.832486615849859,4.832377419504781
1,20250731,162,4.832486615849859,4.83238085174355
1,20250731,163,4.832486615849859,4.832388143720027
1,20250731,164,4.832486615849859,4.83239717199699
1,20250731,165,4.832486615849859,4.832406706956038
1,20250731,166,4.832486615849859,4.832412941250845
1,20250731,167,4.832486615849859,4.832416927404691
1,20250731,168,4.832486615849859,4.832423316797154
1,20250731,169,4.832492759679509,4.832428014023617
1,20250731,170,4.832492759679509,4.832431823140148
1,20250731,171,4.832492759679509,4.8324359724613855
1,20250731,172,4.832492759679509,4.832437580831215
1,20250731,173,4.832492759679509,4.832440209201649
1,20250731,174,4.832492759679509,4.832442611716499
1,20250731,175,4.832492759679509,4.832447440902841
1,20250731,176,4.832492759679509,4.832452110624044
1,20250731,177,4.832492759679509,4.832453626131701
1,20250731,178,4.832492759679509,4.832457026258093
1,20250731,179,4.832492759679509,4.832458063276704
1,20250731,180,4.832492759679509,4.832459256252812
2,20250732,0,2.512100949677021,0.06527485210135772
2,20250732,1,2.6395732389387714,0.29781244890189273
2,20250732,2,2.6395732389387714,0.6552546583415181
2,20250732,3,2.6395732389387714,1.0951835314979799
2,20250732,4,2.6395732389387714,1.7091350206100564
2,20250732,5,3.4143947515925612,2.3889890415310018
2,20250732,6,3.516493191109104,2.649972783076829
2,20250732,7,3.6891391636237176,2.7757966823424076
2,20250732,8,3.8565114174856125,2.8469103999616805
2,20250732,9,3.869162435837009,2.950411101720068
2,20250732,10,4.039857695512671,3.1335556182612403
2,20250732,11,4.039857695512671,3.2662032844824984
2,20250732,12,4.039857695512671,3.410400697851641
2,20250732,13,4.039857695512671,3.4854007438441292
2,20250732,14,4.039857695512671,3.591124356084824
2,20250732,15,4.092715133429481,3.696640428824736
2,20250732,16,4.093181863010573,3.7842574463051464
2,20250732,17,4.268752824083085,3.836003658328186
2,20250732,18,4.268752824083085,3.89349331003514
2,20250732,19,4.268752824083085,3.9337774128169536
2,20250732,20,4.268752824083085,3.9796060567181257
2,20250732,21,4.268752824083085,4.0133705278208
2,20250732,22,4.268752824083085,4.028508696246721
2,20250732,23,4.338685577925177,4.060038161301931
2,20250732,24,4.338685577925177,4.07352931771359
2,20250732,25,4.36733363232856,4.095893424950908
2,20250732,26,4.421032751812522,4.11645214808187
2,20250732,27,4.421032751812522,4.149056595968653
2,20250732,28,4.421032751812522,4.17809259775185
2,20250732,29,4.544554474736421,4.215716877827634
2,20250732,30,4.567296364489916,4.246277179645829
2,20250732,31,4.5689621029216445,4.273836879850809
2,20250732,32,4.5689621029216445,4.286243238660298
2,20250732,33,4.5689621029216445,4.303139682205026
2,20250732,34,4.5689621029216445,4.325000603910703
2,20250732,35,4.569884216916609,4.346901365185096
2,20250732,36,4.693408845520873,4.380786315376612
2,20250732,37,4.693408845520873,4.416295472169338
2,20250732,38,4.74856269367843,4.45233270764361
2,20250732,39,4.74856269367843,4.481510147042202
2,20250732,40,4.74856269367843,4.510075956922044
2,20250732,41,4.74856269367843,4.5406384646379285
2,20250732,42,4.75365218721579,4.574422859682845
2,20250732,43,4.795374535182916,4.597856686440931
2,20250732,44,4.795374535182916,4.63289386737162
2,20250732,45,4.795374535182916,4.657174737450032
2,20250732,46,4.795374535182916,4.678992427030386
2,20250732,47,4.8020775826731,4.703497992979808
2,20250732,48,4.8020775826731,4.7138181482007235
2,20250732,49,4.826995913717044,4.73565420083428
2,20250732,50,4.826995913717044,4.742949711452481
2,20250732,51,4.826995913717044,4.758476613658588
2,20250732,52,4.826995913717044,4.768521699252026
2,20250732,53,4.826995913717044,4.77664856110196
2,20250732,54,4.826995913717044,4.7824964134587935
2,20250732,55,4.826995913717044,4.786843709813088
2,20250732,56,4.826995913717044,4.792046109720515
2,20250732,57,4.826995913717044,4.794778069936779
2,20250732,58,4.826995913717044,4.7983808224009055
2,20250732,59,4.827435667777879,4.799822603868354
2,20250732,60,4.827435667777879,4.803179472327678
2,20250732,61,4.827435667777879,4.805546231476824
2,20250732,62,4.827435667777879,4.807228500417172
2,20250732,63,4.827435667777879,4.80931585612976
2,20250732,64,4.827435667777879,4.810519780734823
2,20250732,65,4.829280279413567,4.811404220233574
2,20250732,66,4.829280279413567,4.812706973240027
2,20250732,67,4.829280279413567,4.814258093568401
2,20250732,68,4.829280279413567,4.81510092111301
2,20250732,69,4.829280279413567,4.816526369404989
2,20250732,70,4.829280279413567,4.817197458941754
2,20250732,71,4.829280279413567,4.818036803903788
2,20250732,72,4.829280279413567,4.819006803785278
2,20250732,73,4.829280279413567,4.820092059110208
2,20250732,74,4.829280279413567,4.820731676111786
2,20250732,75,4.829596054372334,4.821220856580428
2,20250732,76,4.829596054372334,4.82185325341704
2,20250732,77,4.831172367756967,4.822386768688813
2,20250732,78,4.831172367756967,4.822707086480709
2,20250732,79,4.831172367756967,4.822929314325953
2,20250732,80,4.831172367756967,4.823278393128059
2,20250732,81,4.831172367756967,4.823813431232207
2,20250732,82,4.831172367756967,4.8241738519857185
2,20250732,83,4.831172367756967,4.8247641499326255
2,20250732,84,4.831172367756967,4.825199141913008
2,20250732,85,4.831172367756967,4.825851496525833
2,20250732,86,4.831718441637379,4.826334404135298
2,20250732,87,4.831718441637379,4.826769853756686
2,20250732,88,4.831718441637379,4.827101265090662
2,20250732,89,4.831718441637379,4.827297696679329
2,20250732,90,4.831718441637379,4.827585265183838
2,20250732,91,4.831718441637379,4.827964175580807
2,20250732,92,4.831718441637379,4.828144262774303
2,20250732,93,4.831718441637379,4.8283577132739675
2,20250732,94,4.831718441637379,4.828549275789609
2,20250732,95,4.831718441637379,4.828811887445314
2,20250732,96,4.83191337664266,4.828959549207821
2,20250732,97,4.83191337664266,4.8291423867743655
2,20250732,98,4.83191337664266,4.829349144226662
2,20250732,99,4.83191337664266,4.829478844931678
2,20250732,100,4.83191337664266,4.829627264910813
2,20250732,101,4.83191337664266,4.829784387877846
2,20250732,102,4.83191337664266,4.829912108722669
2,20250732,103,4.83191337664266,4.830034635168458
2,20250732,104,4.832037172719026,4.830179812114764
2,20250732,105,4.832037172719026,4.830259880140015
2,20250732,106,4.832037172719026,4.8303955215453325
2,20250732,107,4.832184904586611,4.830478785293652
2,20250732,108,4.832184904586611,4.830591533055969
2,20250732,109,4.832184904586611,4.8306409108393735
2,20250732,110,4.832184904586611,4.830764159040164
2,20250732,111,4.832184904586611,4.830857288738906
2,20250732,112,4.832184904586611,4.830959076495032
2,20250732,113,4.832358628340199,4.831054626694933
2,20250732,114,4.832358628340199,4.831145216784356
2,20250732,115,4.832358628340199,4.831288355466153
2,20250732,116,4.832358628340199,4.831355987427794
2,20250732,117,4.8323992178779305,4.831436377262907
2,20250732,118,4.8323992178779305,4.831495500778473
2,20250732,119,4.8323992178779305,4.8315523377918375
2,20250732,120,4.8323992178779305,4.831608323800708
