time_s,missile_id,effective_cloud_count,covered
0.0,M1,0,0
0.04187448175467038,M1,0,0
0.08374896350934076,M1,0,0
0.12562344526401115,M1,0,0
0.16749792701868152,M1,0,0
0.2093724087733519,M1,0,0
0.2512468905280223,M1,0,0
0.29312137228269264,M1,0,0
0.33499585403736304,M1,0,0
0.37687033579203344,M1,0,0
0.4187448175467038,M1,0,0
0.4606192993013742,M1,0,0
0.5024937810560446,M1,0,0
0.5443682628107149,M1,0,0
0.5862427445653853,M1,0,0
0.6281172263200557,M1,0,0
0.6699917080747261,M1,0,0
0.7118661898293964,M1,0,0
0.7537406715840669,M1,0,0
0.7956151533387372,M1,0,0
0.8374896350934076,M1,0,0
0.879364116848078,M1,0,0
0.9212385986027484,M1,0,0
0.9631130803574187,M1,0,0
1.0049875621120892,M1,1,1
1.0468620438667595,M1,1,1
1.0887365256214299,M1,1,1
1.1306110073761002,M1,1,1
1.1724854891307706,M1,1,1
1.2143599708854411,M1,1,1
1.2562344526401115,M1,1,1
1.2981089343947818,M1,1,1
1.3399834161494522,M1,1,1
1.3818578979041225,M1,1,1
1.4237323796587928,M1,1,1
1.4656068614134632,M1,1,1
1.5074813431681338,M1,1,1
1.549355824922804,M1,1,1
1.5912303066774744,M1,1,1
1.6331047884321448,M1,1,1
1.6749792701868151,M1,1,1
1.7168537519414855,M1,1,1
1.758728233696156,M1,1,1
1.8006027154508264,M1,1,1
1.8424771972054967,M1,1,1
1.884351678960167,M1,1,1
1.9262261607148374,M1,1,1
1.9681006424695078,M1,1,1
2.0099751242241783,M1,1,1
2.0518496059788487,M1,1,1
2.093724087733519,M1,1,1
2.1355985694881894,M1,1,1
2.1774730512428597,M1,1,1
2.21934753299753,M1,1,1
2.2612220147522004,M1,1,1
2.3030964965068708,M1,1,1
2.344970978261541,M1,1,1
2.3868454600162115,M1,1,1
2.4287199417708822,M1,1,1
2.4705944235255526,M1,1,1
2.512468905280223,M1,1,1
2.5543433870348933,M1,1,1
2.5962178687895636,M1,1,1
2.638092350544234,M1,1,1
2.6799668322989043,M1,1,1
2.7218413140535747,M1,1,1
2.763715795808245,M1,1,1
2.8055902775629153,M1,1,1
2.8474647593175857,M1,1,1
2.889339241072256,M1,1,1
2.9312137228269264,M1,1,1
2.973088204581597,M1,1,1
3.0149626863362675,M1,1,1
3.056837168090938,M1,1,1
3.098711649845608,M1,1,1
3.1405861316002786,M1,1,1
3.182460613354949,M1,1,1
3.2243350951096192,M1,1,1
3.2662095768642896,M1,1,1
3.30808405861896,M1,1,1
3.3499585403736303,M1,1,1
3.3918330221283006,M1,1,1
3.433707503882971,M1,1,1
3.4755819856376413,M1,1,1
3.517456467392312,M1,1,1
3.5593309491469824,M1,1,1
3.601205430901653,M1,1,1
3.643079912656323,M1,1,1
3.6849543944109935,M1,1,1
3.726828876165664,M1,1,1
3.768703357920334,M1,1,1
3.8105778396750045,M1,1,1
3.852452321429675,M1,1,1
3.894326803184345,M1,1,1
3.9362012849390156,M1,1,1
3.978075766693686,M1,1,1
4.019950248448357,M1,1,1
4.061824730203027,M1,1,1
4.103699211957697,M1,1,1
4.145573693712367,M1,1,1
4.187448175467038,M1,1,1
4.229322657221708,M1,1,1
4.271197138976379,M1,1,1
4.3130716207310495,M1,1,1
4.3549461024857195,M1,1,1
4.39682058424039,M1,1,1
4.43869506599506,M1,1,1
4.480569547749731,M1,1,1
4.522444029504401,M1,1,1
4.564318511259072,M1,1,1
4.6061929930137415,M1,1,1
4.648067474768412,M1,1,1
4.689941956523082,M1,1,1
4.731816438277753,M1,1,1
4.773690920032423,M1,1,1
4.815565401787094,M1,1,1
4.8574398835417645,M1,1,1
4.899314365296434,M1,1,1
4.941188847051105,M1,1,1
4.983063328805775,M1,1,1
5.024937810560446,M1,1,1
5.066812292315116,M1,1,1
5.1086867740697866,M1,1,1
5.1505612558244565,M1,1,1
5.192435737579127,M1,1,1
5.234310219333797,M1,1,1
