stage,seed,generation,best_duration_s,mean_duration_s
centerline_proxy,20250802,0,4.6346040090452565,0.036207843820666066
centerline_proxy,20250802,1,5.007409559437036,0.1455546581203439
centerline_proxy,20250802,2,5.007409559437036,0.2479883417144314
centerline_proxy,20250802,3,5.007409559437036,0.43364178246695884
centerline_proxy,20250802,4,5.007409559437036,0.7101496273416796
centerline_proxy,20250802,5,5.007409559437036,1.0691365543100995
centerline_proxy,20250802,6,5.007409559437036,1.463230983821644
centerline_proxy,20250802,7,5.007409559437036,1.860402494445057
centerline_proxy,20250802,8,5.007409559437036,2.267449092782284
centerline_proxy,20250802,9,5.007409559437036,2.5730826034954575
centerline_proxy,20250802,10,5.007409559437036,2.7127558539398318
centerline_proxy,20250802,11,5.646345222827829,2.868855074582936
centerline_proxy,20250802,12,6.398142425452626,2.990768906134265
centerline_proxy,20250802,13,6.398142425452626,3.0375184342849364
centerline_proxy,20250802,14,6.398142425452626,3.0889946643264548
centerline_proxy,20250802,15,6.398142425452626,3.1797886521989476
centerline_proxy,20250802,16,6.398142425452626,3.2496617173676476
centerline_proxy,20250802,17,6.398142425452626,3.3312767286371634
centerline_proxy,20250802,18,6.398142425452626,3.378755271874823
centerline_proxy,20250802,19,6.398142425452626,3.4430177458275146
centerline_proxy,20250802,20,6.398142425452626,3.500468600424154
centerline_proxy,20250802,21,6.398142425452626,3.5315485820050445
centerline_proxy,20250802,22,6.398142425452626,3.5918513166997155
centerline_proxy,20250802,23,6.398142425452626,3.672976950411271
centerline_proxy,20250802,24,6.398142425452626,3.7264238484927645
centerline_proxy,20250802,25,6.398142425452626,3.784646810658397
centerline_proxy,20250802,26,6.398142425452626,3.8319727374473684
centerline_proxy,20250802,27,6.398142425452626,3.8927780118255906
centerline_proxy,20250802,28,6.398142425452626,3.9238581869015356
centerline_proxy,20250802,29,6.398142425452626,3.988662424755008
centerline_proxy,20250802,30,6.398142425452626,4.061385660878122
centerline_proxy,20250802,31,6.398142425452626,4.143474553508629
centerline_proxy,20250802,32,6.398142425452626,4.153531189552178
centerline_proxy,20250802,33,6.398142425452626,4.179958642345927
centerline_proxy,20250802,34,6.398142425452626,4.212271589808337
centerline_proxy,20250802,35,6.398142425452626,4.2666780242550075
centerline_proxy,20250802,36,6.398142425452626,4.292250137255021
centerline_proxy,20250802,37,6.398142425452626,4.3163606480487475
centerline_proxy,20250802,38,6.398142425452626,4.333503922694087
centerline_proxy,20250802,39,6.398142425452626,4.376987278033019
centerline_proxy,20250802,40,6.398142425452626,4.428618673634831
centerline_proxy,20250802,41,6.398142425452626,4.460963792124953
centerline_proxy,20250802,42,6.398142425452626,4.532054232337661
centerline_proxy,20250802,43,6.398142425452626,4.602585270592771
centerline_proxy,20250802,44,6.398142425452626,4.690853315033975
centerline_proxy,20250802,45,6.398142425452626,4.75570437432714
centerline_proxy,20250802,46,6.398142425452626,4.857553825265466
centerline_proxy,20250802,47,6.398142425452626,5.0483526150953235
centerline_proxy,20250802,48,6.398142425452626,5.251123082426105
centerline_proxy,20250802,49,6.398142425452626,5.429961281008531
centerline_proxy,20250802,50,6.398142425452626,5.6843478435877675
centerline_proxy,20250802,51,6.398142425452626,5.8855416012574135
centerline_proxy,20250802,52,6.398142425452626,6.045661851986401
centerline_proxy,20250802,53,6.398876589451278,6.1626418521161295
centerline_proxy,20250802,54,6.398876589451278,6.237632202696405
centerline_proxy,20250802,55,6.398876589451278,6.278733818494091
centerline_proxy,20250802,56,6.398878851828116,6.3169980231802665
centerline_proxy,20250802,57,6.398878851828116,6.340514371147837
centerline_proxy,20250802,58,6.398878851828116,6.360934509728571
centerline_proxy,20250802,59,6.398878851828116,6.375210501947895
centerline_proxy,20250802,60,6.398908583082898,6.384601599849074
centerline_proxy,20250802,61,6.398908583082898,6.388499645022824
centerline_proxy,20250802,62,6.39899662237278,6.392996145893709
centerline_proxy,20250802,63,6.39899662237278,6.395799741880244
centerline_proxy,20250802,64,6.39899662237278,6.396834091104059
centerline_proxy,20250802,65,6.39899662237278,6.398080977491249
centerline_proxy,20250802,66,6.399100604726925,6.398444387073443
centerline_proxy,20250802,67,6.399105986849084,6.398537295822191
centerline_proxy,20250802,68,6.399105986849084,6.398620035993451
centerline_proxy,20250802,69,6.399105986849084,6.398683982799261
centerline_proxy,20250802,70,6.399105986849084,6.398737071728467
centerline_proxy,20250802,71,6.399105986849084,6.398783704575286
centerline_proxy,20250802,72,6.399152973051296,6.398820535020324
centerline_proxy,20250802,73,6.399152973051296,6.398849676616168
centerline_proxy,20250802,74,6.399152973051296,6.398890460971587
centerline_proxy,20250802,75,6.399152973051296,6.398942923656195
centerline_proxy,20250802,76,6.399152973051296,6.398960681103603
centerline_proxy,20250802,77,6.399175102249087,6.398994208166485
centerline_proxy,20250802,78,6.399175102249087,6.399017196313741
centerline_proxy,20250802,79,6.399175102249087,6.399039332631884
centerline_proxy,20250802,80,6.399175102249087,6.399058966721497
centerline_proxy,20250802,81,6.399175102249087,6.399071289961228
centerline_proxy,20250802,82,6.399175102249087,6.399079005446151
centerline_proxy,20250802,83,6.399175102249087,6.399092038666353
centerline_proxy,20250802,84,6.399175102249087,6.399099873986194
centerline_proxy,20250802,85,6.399175102249087,6.399113738419568
centerline_proxy,20250802,86,6.399175102249087,6.399119998435948
centerline_proxy,20250802,87,6.399175102249087,6.399126239662735
centerline_proxy,20250802,88,6.399175102249087,6.399130808961035
centerline_proxy,20250802,89,6.399175102249087,6.399135410555164
centerline_proxy,20250802,90,6.399175102249087,6.399140484250757
centerline_proxy,20250802,91,6.399175424771449,6.399142995875502
centerline_proxy,20250802,92,6.399175424771449,6.399145654748604
centerline_proxy,20250802,93,6.399175424771449,6.399148862834025
centerline_proxy,20250802,94,6.399175424771449,6.399151428249781
centerline_proxy,20250802,95,6.399175424771449,6.399154799037733
centerline_proxy,20250802,96,6.399175424771449,6.399157784183371
centerline_proxy,20250802,97,6.399175424771449,6.399160429222315
centerline_proxy,20250802,98,6.399175424771449,6.399162380910557
centerline_proxy,20250802,99,6.399177122581648,6.3991648379321155
centerline_proxy,20250802,100,6.399177122581648,6.399166767924006
centerline_proxy,20250802,101,6.399177122581648,6.399167574935042
centerline_proxy,20250802,102,6.399177122581648,6.399169027146469
centerline_proxy,20250802,103,6.399177192241465,6.399169907796265
centerline_proxy,20250802,104,6.399177436803483,6.399170897099726
centerline_proxy,20250802,105,6.3991779666539,6.399171781860494
centerline_proxy,20250802,106,6.3991779666539,6.399172400113603
centerline_proxy,20250802,107,6.3991779666539,6.399173138367711
centerline_proxy,20250802,108,6.3991779666539,6.399173547045564
centerline_proxy,20250802,109,6.399178919490244,6.399174001666342
centerline_proxy,20250802,110,6.399178919490244,6.3991744841528195
centerline_proxy,20250802,111,6.399178919490244,6.399175028587272
centerline_proxy,20250802,112,6.399178919490244,6.399175521253252
centerline_proxy,20250802,113,6.399179232459548,6.399175961533405
centerline_proxy,20250802,114,6.399179232459548,6.3991763930996655
centerline_proxy,20250802,115,6.399179232459548,6.399176514576688
centerline_proxy,20250802,116,6.399179232459548,6.399176825215109
centerline_proxy,20250802,117,6.399179232459548,6.3991770844875075
centerline_proxy,20250802,118,6.399179232459548,6.399177295268667
centerline_proxy,20250802,119,6.399179232459548,6.399177421858988
centerline_proxy,20250802,120,6.399179232459548,6.399177557963544
centerline_proxy,20250802,121,6.399179232459548,6.3991777071084
centerline_proxy,20250802,122,6.399179232459548,6.399177805421441
centerline_proxy,20250802,123,6.399179232459548,6.399178012456016
centerline_proxy,20250802,124,6.399179232459548,6.399178169125986
centerline_proxy,20250802,125,6.399179232459548,6.39917831816682
centerline_proxy,20250802,126,6.399179263424001,6.3991784470113835
centerline_proxy,20250802,127,6.399179263424001,6.399178482550667
centerline_proxy,20250802,128,6.399179263424001,6.399178596551012
centerline_proxy,20250802,129,6.399179263424001,6.399178664433845
centerline_proxy,20250802,130,6.399179263424001,6.399178722884102
centerline_proxy,20250802,131,6.399179263424001,6.399178763904633
centerline_proxy,20250802,132,6.399179263424001,6.399178828058252
centerline_proxy,20250802,133,6.399179263424001,6.399178877425614
centerline_proxy,20250802,134,6.399179263424001,6.399178912896634
centerline_proxy,20250802,135,6.399179263424001,6.399178955759294
centerline_proxy,20250802,136,6.399179294009572,6.399178996549518
centerline_proxy,20250802,137,6.399179294009572,6.399179012800603
centerline_proxy,20250802,138,6.399179294009572,6.3991790475095165
centerline_proxy,20250802,139,6.399179334553916,6.399179093877018
centerline_proxy,20250802,140,6.399179343678334,6.399179117696127
centerline_proxy,20250802,141,6.399179343678334,6.399179140957714
centerline_proxy,20250802,142,6.399179343678334,6.399179158386449
centerline_proxy,20250802,143,6.399179343678334,6.39917917693713
centerline_proxy,20250802,144,6.399179343678334,6.399179201071211
centerline_proxy,20250802,145,6.399179343678334,6.399179218135263
centerline_proxy,20250802,146,6.399179343678334,6.399179231300797
centerline_proxy,20250802,147,6.399179349503232,6.399179246158736
centerline_proxy,20250802,148,6.399179349503232,6.3991792525364
centerline_proxy,20250802,149,6.399179349503232,6.3991792625710655
centerline_proxy,20250802,150,6.399179349503232,6.399179272707186
centerline_proxy,20250802,151,6.399179354751982,6.399179282967156
centerline_proxy,20250802,152,6.399179354751982,6.399179292871066
centerline_proxy,20250802,153,6.39917935632816,6.39917929815823
centerline_proxy,20250802,154,6.399179372818991,6.399179305384836
centerline_proxy,20250802,155,6.399179372818991,6.399179315025586
centerline_proxy,20250802,156,6.399179372818991,6.399179322288559
centerline_proxy,20250802,157,6.399179372818991,6.399179326094039
centerline_proxy,20250802,158,6.399179372818991,6.399179331004842
centerline_proxy,20250802,159,6.399179372818991,6.399179336379225
centerline_proxy,20250802,160,6.399179372818991,6.399179340447857
centerline_proxy,20250802,161,6.399179372818991,6.399179343321454
centerline_proxy,20250802,162,6.39917937728216,6.399179347425388
centerline_proxy,20250802,163,6.39917937728216,6.399179350679807
centerline_proxy,20250802,164,6.39917937728216,6.399179352812331
centerline_proxy,20250802,165,6.39917937728216,6.399179354798427
centerline_proxy,20250802,166,6.39917937728216,6.399179356329108
centerline_proxy,20250802,167,6.39917937728216,6.399179357764124
centerline_proxy,20250802,168,6.39917937728216,6.39917936043725
centerline_proxy,20250802,169,6.39917937728216,6.399179361470155
centerline_proxy,20250802,170,6.39917937728216,6.399179362615718
centerline_proxy,20250802,171,6.39917937728216,6.399179364873227
centerline_proxy,20250802,172,6.39917937728216,6.399179366163083
centerline_proxy,20250802,173,6.39917937728216,6.399179367585058
centerline_proxy,20250802,174,6.39917937728216,6.399179368752193
centerline_proxy,20250802,175,6.39917937728216,6.399179369499901
centerline_proxy,20250802,176,6.399179377583511,6.39917937046737
centerline_proxy,20250802,177,6.399179377583511,6.399179371201995
centerline_proxy,20250802,178,6.399179377583511,6.399179371817263
centerline_proxy,20250802,179,6.399179377583511,6.399179372335275
centerline_proxy,20250802,180,6.399179377583511,6.399179372896799
centerline_proxy,20250802,181,6.399179377583511,6.3991793732658095
centerline_proxy,20250802,182,6.399179377583511,6.399179373997779
centerline_proxy,20250802,183,6.399179377721247,6.39917937451966
centerline_proxy,20250802,184,6.399179377721247,6.399179374840179
centerline_proxy,20250802,185,6.399179377721247,6.39917937524225
centerline_proxy,20250802,186,6.399179378119076,6.399179375500986
centerline_proxy,20250802,187,6.399179378231886,6.399179375833183
centerline_proxy,20250802,188,6.399179378231886,6.399179376068236
centerline_proxy,20250802,189,6.399179378664733,6.3991793763731994
centerline_proxy,20250802,190,6.399179378664733,6.399179376557571
centerline_proxy,20250802,191,6.399179378664733,6.399179376699566
centerline_proxy,20250802,192,6.399179378664733,6.399179376843624
centerline_proxy,20250802,193,6.399179378664733,6.399179376992002
centerline_proxy,20250802,194,6.399179378664733,6.399179377168303
centerline_proxy,20250802,195,6.399179378664733,6.39917937728471
centerline_proxy,20250802,196,6.399179378664733,6.399179377433226
centerline_proxy,20250802,197,6.399179378664733,6.399179377533759
centerline_proxy,20250802,198,6.399179378664733,6.399179377654902
centerline_proxy,20250802,199,6.399179378664733,6.39917937773305
centerline_proxy,20250802,200,6.399179378664733,6.399179377859041
centerline_proxy,20250803,0,4.6346040090452565,0.036207843820666066
centerline_proxy,20250803,1,4.6346040090452565,0.14015900850735422
centerline_proxy,20250803,2,4.6346040090452565,0.27153391656158454
centerline_proxy,20250803,3,4.6346040090452565,0.38174272868370895
centerline_proxy,20250803,4,4.6346040090452565,0.668340282362966
centerline_proxy,20250803,5,4.6346040090452565,0.8894366013676677
centerline_proxy,20250803,6,4.6346040090452565,1.1490837614422917
centerline_proxy,20250803,7,4.989222985990397,1.4679593585353476
centerline_proxy,20250803,8,4.989222985990397,2.0851710892125785
centerline_proxy,20250803,9,4.989222985990397,2.459392905654009
centerline_proxy,20250803,10,4.989222985990397,2.629244269470538
centerline_proxy,20250803,11,4.989222985990397,2.7705748704160964
centerline_proxy,20250803,12,4.989222985990397,2.8690961955886283
centerline_proxy,20250803,13,5.424672880386445,2.9071062388516618
centerline_proxy,20250803,14,5.424672880386445,2.9584950883249648
