drone_id,stage,generation,best_score,mean_score
FY1,proximity,0,-0.16372024556042225,-8104.986149766114
FY1,proximity,1,-0.16372024556042225,-3595.1047357812986
FY1,proximity,2,-0.16372024556042225,-1080.2068692564865
FY1,proximity,3,-0.16372024556042225,-275.1908730529802
FY1,proximity,4,-0.16372024556042225,-79.85695555747833
FY1,proximity,5,-0.16372024556042225,-4.391939519559046
FY1,proximity,6,-0.16372024556042225,-3.0790353159397266
FY1,proximity,7,-0.16372024556042225,-1.5808827682744642
FY1,proximity,8,-0.16372024556042225,-1.5808827682744642
FY1,proximity,9,-0.16372024556042225,-1.5808827682744642
FY1,proximity,10,-0.16372024556042225,-1.5808827682744642
FY1,proximity,11,-0.07358453915656346,-1.5650263544269951
FY1,proximity,12,-0.07358453915656346,-1.5650263544269951
FY1,proximity,13,-0.07358453915656346,-1.5650263544269951
FY1,proximity,14,-0.07358453915656346,-1.5650263544269951
FY1,proximity,15,-0.07358453915656346,-1.5650263544269951
FY1,proximity,16,-0.07358453915656346,-1.5650263544269951
FY1,proximity,17,-0.07358453915656346,-1.5650263544269951
FY1,proximity,18,-0.07358453915656346,-1.5650263544269951
FY1,proximity,19,-0.07358453915656346,-1.5650263544269951
FY1,proximity,20,-0.07358453915656346,-1.5650263544269951
FY1,proximity,21,-0.07358453915656346,-1.5650263544269951
FY1,proximity,22,-0.07358453915656346,-1.5650263544269951
FY1,proximity,23,-0.07358453915656346,-1.5650263544269951
FY1,proximity,24,-0.07358453915656346,-1.5650263544269951
FY1,proximity,25,-0.07358453915656346,-1.5650263544269951
FY1,proximity,26,-0.07358453915656346,-1.5501088541879
FY1,proximity,27,-0.07358453915656346,-1.5501088541879
FY1,proximity,28,-0.07358453915656346,-1.5501088541879
FY1,proximity,29,-0.07358453915656346,-1.5501088541879
FY1,proximity,30,-0.07358453915656346,-1.5501088541879
FY1,proximity,31,-0.07358453915656346,-1.5501088541879
FY1,proximity,32,-0.07358453915656346,-1.5501088541879
